Indicators,Year ,Month,Value
Single-Family Building Permits,2016,7,68.74
Single-Family Building Permits,2016,8,69.27
Single-Family Building Permits,2016,9,53.86
Single-Family Building Permits,2016,10,63.85
Single-Family Building Permits,2016,11,76.25
Single-Family Building Permits,2016,12,83.16
Single-Family Building Permits,2017,1,85.35
Single-Family Building Permits,2017,2,78.69
Single-Family Building Permits,2017,3,64.67
Single-Family Building Permits,2017,4,74.94
Single-Family Building Permits,2017,5,76.23
Single-Family Building Permits,2017,6,92.57
Single-Family Building Permits,2017,7,68.07
Single-Family Building Permits,2017,8,58.47
Single-Family Building Permits,2017,9,88.8
Single-Family Building Permits,2017,10,76.83
Single-Family Building Permits,2017,11,101.52
Single-Family Building Permits,2017,12,83.26
Single-Family Building Permits,2018,1,83.81
Single-Family Building Permits,2018,2,74.34
Single-Family Building Permits,2018,3,78.37
Single-Family Building Permits,2018,4,73.01
Single-Family Building Permits,2018,5,68.87
Airline Passengers,2001,1,90.42
Airline Passengers,2001,2,89.24
Airline Passengers,2001,3,89
Airline Passengers,2001,4,88.88
Airline Passengers,2001,5,88.62
Airline Passengers,2001,6,86.95
Airline Passengers,2001,7,88.5
Airline Passengers,2001,8,93.34
Airline Passengers,2001,9,64.19
Airline Passengers,2001,10,82.46
Airline Passengers,2001,11,83.31
Airline Passengers,2001,12,82.25
Airline Passengers,2002,1,84.95
Airline Passengers,2002,2,82.49
Airline Passengers,2002,3,84.35
Airline Passengers,2002,4,83.2
Airline Passengers,2002,5,84.17
Airline Passengers,2002,6,83.21
Airline Passengers,2002,7,84.55
Airline Passengers,2002,8,87.08
Airline Passengers,2002,9,81.78
Airline Passengers,2002,10,84.26
Airline Passengers,2002,11,83.43
Airline Passengers,2002,12,91.75
Airline Passengers,2003,1,84.47
Airline Passengers,2003,2,84.75
Airline Passengers,2003,3,82.88
Airline Passengers,2003,4,80.25
Airline Passengers,2003,5,84.47
Airline Passengers,2003,6,84.79
Airline Passengers,2003,7,86.57
Airline Passengers,2003,8,85.92
Airline Passengers,2003,9,85.44
Airline Passengers,2003,10,86.12
Airline Passengers,2003,11,85.25
Airline Passengers,2003,12,88.6
Airline Passengers,2004,1,85.43
Airline Passengers,2004,2,87.47
Airline Passengers,2004,3,88.56
Airline Passengers,2004,4,89.75
Airline Passengers,2004,5,87.81
Airline Passengers,2004,6,90.32
Airline Passengers,2004,7,88.88
Airline Passengers,2004,8,89.9
Airline Passengers,2004,9,91.87
Airline Passengers,2004,10,91.73
Airline Passengers,2004,11,91.64
Airline Passengers,2004,12,91.68
Airline Passengers,2005,1,92.3
Airline Passengers,2005,2,92.88
Airline Passengers,2005,3,94.65
Airline Passengers,2005,4,94.62
Airline Passengers,2005,5,94.65
Airline Passengers,2005,6,97.03
Airline Passengers,2005,7,94.95
Airline Passengers,2005,8,96.14
Airline Passengers,2005,9,98.34
